CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
TO,23303.47781,78053.045,48367.76165,657761.4361,70192.05587,2307656.967,716327.2343,1608100.042,4817864.585,1026518.753,2347982.958,4316516.492,1832318.441,8143526.201,5643419.39,,,,,,,,TO,23.30347781,78.053045,48.36776165,657.7614361,70.19205587,2307.656967,716.3272343,1608.100042,4817.864585,1026.518753,2347.982958,4316.516492,1832.318441,8143.526201,5643.41939,,,,,,,
Cap,5558.520428,39413.58746,20852.75893,154350.8385,18630.42117,210196.2483,44037.83158,198677.0694,248177.6952,306299.1058,257498.1202,570176.0853,245243.2291,2779806.851,677642.0548,,,,,,,,Cap,5.558520428,39.41358746,20.85275893,154.3508385,18.63042117,210.1962483,44.03783158,198.6770694,248.1776952,306.2991058,257.4981202,570.1760853,245.2432291,2779.806851,677.6420548,,,,,,,
Lab,8460.919813,15591.1972,11242.88114,163978.337,21754.95259,515307.9626,65241.5831,355275.244,1273161.171,121632.2603,747281.3882,1799257.019,583545.1166,2316196.45,3135469.72,,,,,,,,Lab,8.460919813,15.5911972,11.24288114,163.978337,21.75495259,515.3079626,65.2415831,355.275244,1273.161171,121.6322603,747.2813882,1799.257019,583.5451166,2316.19645,3135.46972,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,NM,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
coal,0.058971778,0.279335265,0.214848878,5.984345078,0.471814727,0.354906616,0,2.695713232,88.47747127,174.7093423,1.187445239,0,0,0,0,274.4341944,8.293753895,147.7369901,9778.49735,9913.488308,9630.76036,,coal,5.89718E-05,0.000279335,0.000214849,0.005984345,0.000471815,0.000354907,0,0.002695713,0.088477471,0.174709342,0.001187445,0,0,0,0,0.274434194,0.008293754,0.14773699,9.77849735,9.913488308,9.63076036,0.282727948
crude,0,0,0,0,0,0,30100.72668,0,0,0,0,0,0,0,0,30100.72668,0,129.7767047,77554.10169,107525.0517,77424.32498,,crude,0,0,0,0,0,0,30.10072668,0,0,0,0,0,0,0,0,30.10072668,0,0.129776705,77.55410169,107.5250517,77.42432498,30.10072668
natgas,116.2591656,550.6919691,423.5610982,331.295052,930.1531678,517.2369922,395.5987791,21313.8961,826.7318552,1082.256023,3153.548231,633.182209,384.860736,1069.07903,1038.468649,32766.81906,4467.871744,3664.073254,25447.32108,59017.93863,21783.24783,,natgas,0.116259166,0.550691969,0.423561098,0.331295052,0.930153168,0.517236992,0.395598779,21.3138961,0.826731855,1.082256023,3.153548231,0.633182209,0.384860736,1.06907903,1.038468649,32.76681906,4.467871744,3.664073254,25.44732108,59.01793863,21.78324783,37.2346908
agr,2.152231984,11.20614002,8.223579412,25729.64866,17.58960016,66451.56694,64.69842091,729.6903281,250.0518412,66.31342182,1687.594302,3153.006813,161.6437732,198.9525343,1357.551071,99889.88966,49652.14773,17676.94623,23685.62265,155550.7138,6008.676414,,agr,0.002152232,0.01120614,0.008223579,25.72964866,0.0175896,66.45156694,0.064698421,0.729690328,0.250051841,0.066313422,1.687594302,3.153006813,0.161643773,0.198952534,1.357551071,99.88988966,49.65214773,17.67694623,23.68562265,155.5507138,6.008676414,149.5420374
